type,area,neighborhood,latitude,longitude,age,floor,bedrooms,price,sqmprice,zone,street,elevator,parking,storage,yard,balcony,reconstructed
0,150.0,8,36.2910848,59.5651861,8.0,3.0,3.0,6300000000,42000000.0,1.0,106,1,1,1,0,0,0
1,125.0,18,36.26733,59.588367,22.0,0.0,3.0,7000000000,56000000.0,8.0,49,0,1,1,0,1,1
0,68.0,3,36.36002,59.5174,13.0,2.0,2.0,2500000000,36764705.0,10.0,178,0,1,1,0,0,1
0,65.0,9,36.29603,59.6437,7.0,2.0,1.0,1190000000,18307692.0,4.0,196,0,0,1,0,0,1
0,85.0,11,36.218662,59.616135,3.0,1.0,1.0,1400000000,16470588.0,1.0,55,0,0,0,0,0,0
0,82.0,3,36.36002,59.5174,16.0,2.0,2.0,2550000000,31097560.0,10.0,178,0,1,1,0,0,1
0,43.0,21,36.31555,59.62877,3.0,3.0,1.0,720000000,16744186.0,3.0,263,0,0,1,1,0,1
0,50.0,3,36.353043,59.46631,8.0,4.0,1.0,745000000,14900000.0,10.0,178,0,0,0,0,0,0
0,107.0,1,36.37582,59.46667,6.0,4.0,3.0,3050000000,28504672.0,12.0,145,0,0,0,0,0,0
1,200.0,5,36.32676539888356,59.46392572398653,7.0,0.0,4.0,23000000000,115000000.0,9.0,44,0,1,1,0,1,1
0,160.0,16,36.31631,59.60839,1.0,5.0,3.0,4200000000,26250000.0,2.0,192,1,1,1,0,0,0
0,200.0,5,36.32676539888356,59.46392572398653,0.0,2.0,3.0,9100000000,45500000.0,9.0,44,1,1,1,0,0,0
0,149.0,5,36.32676539888356,59.46392572398653,0.0,3.0,3.0,7500000000,50335570.0,9.0,44,1,1,1,0,0,0
0,110.0,17,36.31978,59.49477,12.0,3.0,2.0,4600000000,41818181.0,9.0,232,1,1,1,0,0,1
1,70.0,18,36.27278,59.60273,13.0,0.0,4.0,2900000000,41428571.0,8.0,31,0,0,1,0,1,0
0,160.0,1,36.3737765,59.47582,0.0,4.0,3.0,5200000000,32500000.0,12.0,29,1,1,1,0,0,0
0,125.0,3,36.36002,59.5174,7.0,4.0,2.0,3800000000,30400000.0,10.0,178,1,1,1,0,0,0
0,80.0,2,36.33183891914909,59.50350991234309,13.0,1.0,2.0,3900000000,48750000.0,11.0,91,1,1,1,0,0,1
0,76.0,1,36.3737765,59.47582,12.0,2.0,2.0,1890000000,24868421.0,12.0,29,0,1,1,0,0,1
0,131.0,7,36.30176,59.58274,28.0,3.0,2.0,3800000000,29007633.0,1.0,123,0,1,1,0,0,1
0,125.0,1,36.3737765,59.47582,3.0,4.0,2.0,1620000000,12960000.0,12.0,29,1,1,1,0,0,0
0,137.0,1,36.3737765,59.47582,2.0,5.0,3.0,4000000000,29197080.0,12.0,29,1,1,1,0,0,0
0,140.0,9,36.29603,59.6437,0.0,6.0,3.0,4200000000,30000000.0,4.0,196,1,1,1,0,0,0
0,120.0,1,36.373867,59.477,6.0,2.0,3.0,3600000000,30000000.0,12.0,29,1,1,1,1,0,0
0,105.0,3,36.36524999251,59.503659009933,4.0,4.0,2.0,3200000000,30476190.0,10.0,178,1,1,1,0,0,0
0,91.0,8,36.29935,59.56544,17.0,3.0,2.0,4600000000,50549450.0,1.0,20,1,1,1,0,0,1
0,95.0,18,36.27278,59.60273,1.0,1.0,2.0,4500000000,47368421.0,8.0,31,1,1,1,0,0,0
0,89.0,1,36.372776,59.479218,0.0,4.0,2.0,2550000000,28651685.0,12.0,29,1,1,1,0,0,0
0,87.0,1,36.3737765,59.47582,8.0,2.0,2.0,2100000000,24137931.0,12.0,29,1,1,1,0,0,0
0,100.0,5,36.33234062414125,59.48554209952649,17.0,2.0,2.0,3150000000,31500000.0,9.0,150,0,1,1,0,0,1
0,113.0,6,36.30685,59.57511,8.0,5.0,2.0,4100000000,36283185.0,1.0,4,1,1,1,0,0,1
0,175.0,11,36.31803637201696,59.55147485505697,0.0,1.0,3.0,12800000000,73142857.0,1.0,116,1,1,1,0,0,0
0,90.0,1,36.3737765,59.47582,5.0,1.0,2.0,3050000000,33888888.0,12.0,29,1,1,1,0,0,0
0,85.0,1,36.370224,59.47151,3.0,2.0,2.0,2770000000,32588235.0,12.0,29,1,1,1,0,0,1
1,200.0,5,36.33290257322176,59.46998618148838,17.0,0.0,5.0,9000000000,45000000.0,9.0,27,0,1,1,0,1,0
0,76.0,2,36.334423,59.503944,17.0,2.0,2.0,2700000000,35526315.0,11.0,91,0,1,1,0,0,1
